Rank,Player,Player.1,Best achievements,Points,#,Games,100%,All,Badges,XP,Member since,Hours,Last update
94,Rhythm,Rhythm,Le Chauffeur  Professional Struggle  Learned One  God of Immune Defence  Shadow Walker  True Treasure Hunter  The Lord of Time  Live Fuel,27636.54,23605,1260,808,1267,147,37922,01/21/2018,18256.4,05/04/2022 03:02:25
95,GENiEBEN,GENiEBEN,Kiosk Item Unlocked: Candy Hands  Kiosk Item Unlocked: Bird  Kiosk Item Unlocked: Horse  Kiosk Item Unlocked: Savanna  Kiosk Item Unlocked: Face  Kiosk Item Unlocked: Salad  Kiosk Item Unlocked: Fort  Kiosk Item Unlocked: Da Vinci,27583.22,32732,9327,2016,15234,463,127039,12/13/2008,58988.3,01/10/2022 22:17:19
96,Lollipop,Lollipop,ONE DAY for Ched 2  Ched's favorite level  I speak Ched's voice  A letter? I definitely wanna read it  Hard complete & Hardcore  Hard complete  Easy complete & Hardcore  Normal complete & Hardcore,27459.3,38329,5188,1887,5950,328,230168,05/22/2010,54098.4,03/15/2021 14:13:26
97,ADdiC7i0n,ADdiC7i0n,Learning to Run  Winning 1st Place  Above and Beyond.  Earn All Silver  Earn All Gold  Earn All Platinum  Broke the Bank!  Power of the Atom,27416.08,25032,5481,704,7738,190,69246,06/23/2011,0.0,08/05/2021 09:52:09
98,Sleeping Cat,Sleeping Cat,Captain  Sergeant  Bad Conduct  Butcher of Bakersfield  Terminator  Fat Cat  Captain of Rapture  Captain of Zubr,27402.2,21863,788,684,798,29,26906,03/31/2015,6270.3,11/27/2021 07:08:26
99,leeson,leeson,Queen of the Desert  Show Me Your Credentials 5  Waltzing Matilda  Brand New Wings 5  Tracked Gold  Sitting Duck Gold  Riding Shotgun Platinum  Transport Hunter Gold,27400.95,27147,3432,872,3453,359,87231,09/09/2012,24176.3,03/18/2020 02:42:51
100,Dimitri Chernyshev,Dimitri Chernyshev,Runnin' from the Devil  Perpetual Relief (Elite or Elite Plus)  Spore Busters  Legendary Armour  Legendary Axe  House Always Wins  Tutorial Completed  I Am Potato,27353.0,23763,1123,953,1190,18,13724,12/24/2014,6102.2,04/30/2022 15:38:00
101,_SAHAR_,_SAHAR_,Love Police  Steal My Heart  Adventurous Soul  A Case of Love  Heartsick  Chest Hoarder  The Collector  Scholar,27271.76,26449,703,631,309,51,40870,12/19/2016,3568.4,01/19/2022 04:38:22
102,Falla,Falla,"Few Casualties of War  Make Haste Slowly  Well Done is Quickly Done  Matters Quickly Executed  Forced Marches by Day and Night  Britannia Rule the Waves  No, I'm Spartacus!  He Who Perseveres, Conquers",27261.94,23100,867,683,717,69,24614,07/04/2011,5438.3,01/17/2022 19:35:45
103,Zlish,Zlish,Mc Monster  Trap master  Trash master  Trap expert  Chest expert  Caretaker apprentice  Caved In  Trash expert,27073.21,28023,2932,497,2790,218,104472,11/09/2010,20780.0,03/14/2021 07:22:50
104,.Rozalina,.Rozalina,Killzone  Road King Jack  Do not be arrogant  Big four hi  Burning the little universe  Flash off  The gaze in the shadow  Buzzing,26953.29,26003,978,714,914,161,41373,08/08/2016,180212.8,01/17/2022 10:43:19
105,The BMachine,The BMachine,The Laurel Crown  Endurance God  Not the bees!  I don't like pain.  Got gud  This is my final form...  Arcade Clear: Hard  Those Rascals...,26756.24,43667,1469,229,1618,12,16026,06/28/2013,25601.3,03/29/2022 14:20:34
106,A2L6E0X1,A2L6E0X1,Private profile,26649.61,24774,3061,1042,6622,225,111798,,32346.8,02/21/2022 12:41:14
107,LOGAN,LOGAN,"This is how the world ends: swallowed in fire, but not in darkness. (Exploration mode)  This is how the world ends: swallowed in fire, but not in darkness. (Nightmare (Adventure) difficulty)  This is how the world ends: swallowed in fire, but not in darkness. (Nightmare (Roguelike) difficulty)  This is how the world ends: swallowed in fire, but not in darkness. (Insane (Adventure) difficulty)  This is how the world ends: swallowed in fire, but not in darkness. (Insane (Roguelike) difficulty)  This is how the world ends: swallowed in fire, but not in darkness. (Madness (Roguelike) difficulty)  Last Instant of Sanity  Last Instant of Sanity (Nightmare (Adventure) difficulty)",26640.95,34920,1084,799,782,87,67056,05/28/2016,4354.7,01/28/2022 00:18:24
108,Fet,Fet,"Don't Bug Me With Your Issues!  Take Only What You Need  Ok, they work like flasks  The Heart of a True Warrior  It will cost your soul  Crappily Ever After  Truffle Shuffle  Explorers Club",26592.38,26361,1389,541,1891,194,105902,06/19/2006,14224.2,10/21/2021 05:29:10
109,Xzilar,Xzilar,Nightmare Tomb of Etheria  Sgt. MacReady  Patron Saint of Res  Trust No-one  Wave Surfer 16  Ghoul Getter 1000  The Warden of the Cliff  Cinemaphile,26574.57,24247,1778,825,2119,218,40708,10/20/2003,62916.9,07/10/2021 02:36:57
110,WarC0zes,WarC0zes,Where's my shield?  Slowly but surely  We're gonna need a bigger ship  1CC Hard  1CC Impossible  1LC Normal  1LC Hard  1LC Impossible,26535.58,20729,1549,562,1703,654,88668,06/27/2011,14046.6,12/20/2021 01:28:46
111,"Harg ""Orange""","Harg ""Orange""",Master of the YeCh'Ti'Wawa's Kennel  King of Crafters: Weapons Master  King of Crafters: Armorer  King of Crafters: Leather Dealer  King of Crafters: Tailor  Magmog: Supreme Bleeder  Master of the Horned Glacier  Milkar: Supreme Chaser,26525.79,27442,4399,427,6099,235,38948,03/12/2004,34566.7,05/01/2022 12:52:36
112,MisterXYZ,MisterXYZ,"No Mucks Given  Beat 20 Levels  Cash Money  Broad Street Bully  Keepin' It Cool  Mech Connoisseur  It's Me, Austin!  Can't Touch This",26378.47,25396,9478,1115,17561,98,37165,11/11/2007,11776.7,07/10/2021 03:02:20
113,Valetian,Valetian,Private profile,26139.73,19314,913,579,954,72,33191,,36736.1,03/29/2022 07:25:28
114,Sterbehilfe e.V.,Sterbehilfe e.V.,Big Spender 9  Big Spender 10  Voice of Inspiration 5  Research and Development 5  Spoils of War 4  Spoils of War 5  Research and Development 4  World Fights Back - Blockade 4,26076.44,24099,1030,767,747,556,297711,01/11/2006,39242.5,10/21/2021 03:13:24
115,el_georgio,el_georgio,"Things Won Are Done; Joy's Soul Lies In The Doing  He That Dies Pays All Debts  He That Will Have A Cake Out Of The Wheat, Must Tarry The Grinding  Shuffled Off This Mortal Coil  I Can Get No Remedy Against This Consumption Of The Purse  Twice-Told Tale  An Infinite Deal Of Nothing  Few Casualties of War",25729.94,21862,3908,837,7023,383,96660,06/04/2014,0.0,02/24/2022 14:20:06
116,rogut3 [PL],rogut3 [PL],"Tracked Gold  Sitting Duck Gold  Skorpions Sting  Little Pig, Little Pig, Let Me in!  Riding Shotgun Platinum  Transport Hunter Gold  S&D Cool Under Pressure Gold  M1 Expert",25725.42,24850,1996,638,2073,195,37436,03/12/2009,31573.7,03/02/2021 11:19:59
117,Therzuzada,Therzuzada,Servant of the Shadows  In the Light  Renowned  Hood Genocider  Why'd It Have To Be Snakes?  You're The Best!  Notches in the Axe  I Love Fishing,25714.17,25420,2407,1143,2684,86,15252,06/26/2011,33310.7,10/28/2021 15:05:31
118,Capo,Capo,Witnessed The Bad Times  You're Getting The Hang Of It  This Is A Co-op Game But You're Winning  Makin' The Dream Work  Share Victory. Share Defeat.  You Almost Won!  Group Headache  42 is the answer,25399.34,28233,3258,1285,3598,80,69977,10/24/2011,13287.6,04/24/2021 17:49:32
119,Gobaku,Gobaku,Boss P Pulverized  Fapjack Flopped Out  Gorilla Gripped  Sticker Head  Get Fired! Severance Check Get!  Go Platinum  Secret Achievement  Shop-A-Holic,25393.95,20280,1236,639,1217,286,35606,03/18/2011,5775.9,01/03/2022 12:45:15
120,R e v y 虎,R e v y 虎,CAR vs. Car  Bloody Grinch  Halfway There  Many More to Come  Mastermind  With a Little Help from my Friends  We shall never Surrender!  Gift Giver,25362.52,24815,983,840,788,385,237642,12/24/2013,15034.5,03/12/2022 12:27:56
121,Chaos Ripper,Chaos Ripper,A Hive of Scum & Villany  Manipulative  Out of a Job  The Rector's Promotion  Most Wealthy  Hyper combo  Belhalhar's Butcher  Reigning Champion,25301.52,27038,2504,1073,2946,557,96274,06/20/2011,16290.0,03/13/2021 19:03:37
122,Misty rain,Misty rain,"Arid Finale  Lock, Stock And Barrel  Taking Sides  Quick Draw  Master of the Guild  Twilight Dreaming  No Country for an Old Man  The Littlest Aviator",25255.41,24553,860,722,741,102,50298,06/12/2015,30540.2,01/17/2022 01:23:22
123,AGONIA,AGONIA,"Let them suffer  Grinder Supreme  Body Builder  Real Divekicker  Desensitization  Veni, vidi, vici  Razed to the ground  Some Room Left in Hell",25197.48,25341,3899,857,8357,26,8057,12/11/2012,18153.2,07/25/2021 04:38:41
124,Crowxar,Crowxar,The Daily Reid  Plumber's Apprentice  Three Prongs of Trishula  Dance of Bliss and Destruction  Don’t blame it on the sunshine  Pretty fly for a cacti  Pipe dream  Currently Attractive,25188.61,21728,772,681,589,11,5764,03/01/2012,5189.8,03/19/2022 04:43:43
125,Formidolosus,Formidolosus,"Killing Spree  Warrior Trials  Yondu  Pacifist  Colorful  Seriously, Warrior?  Persistence  Explorer",25172.0,23215,2849,736,3336,55,14094,10/11/2011,23865.6,11/02/2021 21:34:42
126,Nightwasp,Nightwasp,...Sonic?  Castle Battle Expert  King Killer  Hunt Rookie  Castle Battle Rookie  $89  John Ramblock  Practice makes perfect,25123.53,25019,5354,735,6369,220,57482,08/12/2011,26780.4,02/20/2021 15:14:12
127,Devikra,Devikra,Protect the Homeland 4  One of the Days 4  Hook and the Jolly Crew  Protect the Homeland 3  One of the Days 4  Wayfaring Vagabond  Three Prongs of Trishula  Dance of Bliss and Destruction,25033.22,26946,4730,958,6194,144,67911,05/29/2011,32667.5,04/04/2022 13:09:32
128,*,*,Hawker  Huckster  Courageous  Vendor  Representative  Capitalist  Adversary  Clerk,24999.24,38574,3940,165,5525,89,30871,10/11/2013,30596.8,12/15/2021 21:42:42
129,AmirGaris,AmirGaris,Beat the Creator  Killing Spree  Warrior Trials  Yondu  Pacifist  Shepherd  Persistence  Explorer,24831.14,24739,3371,794,4744,648,276986,06/26/2012,23892.6,10/21/2021 04:14:50
130,Sommelier do Final Fantasy,Sommelier do Final Fantasy,World Heal Master  Leave No Soldier Behind  Perfect Game  Lich King  Homogeneous  Never Give up  Lich Prince  Lich Lord,24811.96,20362,2599,744,No games available,231,103433,06/09/2011,748761.7,01/31/2022 13:11:43
131,Nobody The Despondent,Nobody The Despondent,"Legendary MechCommander  The Complete Record  Grizzled Vet  MechDominator  Disgraced Hardcore  A Legendary Mercenary  Legendary Explorer  Ooooh, Look At Mr. Responsible Over Here",24797.49,21258,772,634,868,74,23105,04/03/2012,10732.6,03/23/2021 21:15:12
132,Tug,Tug,Fire Master  Life seed  Killer  Fury Electric  Demonic Fury  GODSENDS  Oldschool  CAR vs. Car,24775.4,22946,1584,503,1687,204,79027,04/23/2017,0.0,01/27/2022 15:38:43
133,Howl at the Moon,Howl at the Moon,Tragical Card 84  Tragical Card 98  Unique Teddy Complete!  Unique Nap Time Complete!  Unique Merry Christmas Complete!  Unique Take A Drink Complete!  Unique Pets Complete!  Unique Unwrapping Complete!,24739.29,31547,4991,617,6324,298,88260,11/10/2009,15801.9,01/13/2022 07:38:15
134,tautology,tautology,Black Belt Grandmaster  Through Dangers Untold  Bullet Rodeo  Phenomenally Slim Chance  Why Would I Ever Stop Doing This?  Single-Handed  Black Belt  1CC,24675.6,24451,2136,705,2489,37,8485,12/27/2004,0.0,02/22/2021 11:53:02
135,Бендер,Бендер,Impressive Collection  Hiscore Hero  Determined Challenger  LIKE A BOSS  Sector2 Professional  Bring'em on!  Sector1 Professional  Time Limit Maximizer,24614.91,28479,4043,549,6146,2819,745594,03/23/2009,18625.5,04/25/2022 01:47:38
136,Rhy,Rhy,Boss P Pulverized  Fapjack Flopped Out  Gorilla Gripped  Sticker Head  Get Fired! Severance Check Get!  Go Platinum  Complete (100%)  Shop-A-Holic,24574.77,22282,5727,914,5619,289,251076,04/26/2008,30815.8,12/10/2019 07:23:07
137,dodo,dodo,Victory (easy)  Victory (normal)  Victory (hard)  Great Reserves  leisure time  Builder (bronze)  Builder (silver)  Architect (gold),24447.34,23098,1037,829,965,30,32382,09/18/2003,19474.8,04/09/2022 10:22:00
138,prann,prann,Italo-German Campaign Medal  Rat of Tobruk  Africa Star  Motorbroke  Sunstroke  Queen of the Desert  Infantry Assault Badge  Waltzing Matilda,24420.1,22348,13343,1205,19947,64,76283,11/28/2007,13445.8,03/22/2022 04:41:34
139,Epsilon09,Epsilon09,"Skorpiowned  Health Addict  Kung Flu Fighting  Head Trauma  Streaker  Gang Banger  Arid Finale  Lock, Stock And Barrel",24374.93,24795,4731,649,5871,266,195699,03/22/2010,14813.5,12/26/2021 22:47:36
140,Easy Target,Easy Target,"Boss - The Conjurer  Heroic Hallitorium Hero of Heroes  Herculean Hallitorium Hero of Heroes  Hands-down the Handsomest, Hardworking, Honorborn Hallitorium Hero of Heroes  Mini Boss - Little Hands  Die Hard 250  The Grand Undier 1000  You Mad Bro?",24372.3,23811,3474,740,3410,337,69627,12/21/2009,47519.6,11/21/2019 14:05:09
141,shep7000,shep7000,The Feel...  The Lockpick  Ghost Whisperer  All the Toys  Knowledge is Damnation  Crawford's Disciple  Human Phalanx  Bullseye!,24339.06,20623,3265,963,4730,900,141923,05/05/2014,14185.2,01/11/2022 00:41:14
142,Shook50,Shook50,Brand New Wings 5  Brand New Wings 5  All The Ways to Kill 3  Elven Ragnarok  Octopus killer  All The Ways to Kill 5  Elven Ragnarok  Headhunter,24337.4,33698,3221,328,3723,154,59090,11/03/2013,122413.9,12/19/2021 10:20:20
143,Guicools,Guicools,Explorer  Conqueror  Vanquisher  On My Command  Magic Powered  Novice Jeweller  Treasure Hunter  High Roller,24316.03,22393,1402,746,1503,1098,534610,06/28/2016,8579.1,01/11/2022 09:40:45
144,sfnhltb,sfnhltb,"Elementary, My Dear Watson!  PvP High  Billy The Kid  U2  Queen of the Seas  Don't Gank Me Bro  Clover Axis  Mare Regnum",24290.72,31301,3687,501,3578,1783,896030,11/29/2004,118841.5,01/19/2020 01:23:12
145,TurtleBoi,TurtleBoi,Your Legion  Svandia Superstar  Bad Beat  Golden Wheels  RPG Hero  Ba-Da-Boom!  Hecatomb  Badge Rank 10,24273.49,25171,3502,945,4162,388,66770,10/31/2012,13765.6,01/29/2021 00:16:05
146,Girlbeard,Girlbeard,Eerie Chest  Expert Treasure Hauler  You Must Like This Game  True Ultimate Warrior  Silver Ghost Brig  Spectator  Expert Distiller  The Middle Manager,24245.76,22448,1116,794,1452,437,123785,04/24/2013,40733.8,12/27/2021 16:48:39
147,Idiosyncrazy,Idiosyncrazy,The Birds  Twilight Twist  First Third Out  Servants of the Demon Prince  Uncommon Allies  Downfall  Shadowfell Stalwarts  Birds of a Feather,24171.02,27191,8658,1165,10942,881,578728,07/13/2012,30064.7,02/23/2022 23:10:21
148,Brian Basco,Brian Basco,RADicalROACH: Infinity Complete!  Healthiest of All  Persuasion Is Easy  Kiosk Item Unlocked: Challenge 63  Challenge 63 Complete!  Christmas 2021 Complete!  Challenge 62 Complete!  Kiosk Item Unlocked: Challenge 62,24122.75,26367,5906,635,8771,2844,456826,05/25/2010,0.0,03/06/2022 09:43:40
149,Verbal Melee,Verbal Melee,"Waste Not, Want Not  Pay 2 Win  Gotta Collect 'Em All  Cowboy?  No Service  MIGHTY THIRSTY  Urban Nightmare  One Free Bullet",24107.55,20912,643,545,494,150,42049,04/08/2007,4026.7,02/04/2022 19:19:18
150,Mytharox,Mytharox,Into The Vortex  Explorer  Blues Brothers  Last Midnight Million Points  Prelude to Insanity  Last Insane Midnight  Conquest 120 Gold  Conquest Completed!,24062.62,23684,3367,352,5117,258,55016,08/07/2008,119102.2,12/22/2021 07:47:17
151,Mudrik,Mudrik,Mystery's Afoot!  Midori Conquered  Oasis Conquered  Paradise Conquered  Prism Conquered  Money Addict  Event Horizon Conquered  Khromidro Conquered,24043.82,35955,1573,125,2222,73,50721,05/18/2010,24752.1,04/26/2022 02:46:41
152,Katvala,Katvala,"Win 500 Sit and Go’s  Win 100,000 Video Poker Hands  Be Our Guest  Hero  Play 10,000 Blackjack Hands  Play 10,000 Roulette Rounds  Win Video Poker Jackpot  Ultimate Warrior",24033.92,41477,628,89,610,23,54106,01/27/2013,34865.6,03/28/2021 04:45:32
153,birinights,birinights,"So long, game.  Matt  I don't know whats going on  10 Games Played  Excellent friend  Barrel Rider  Drunken Master  Having a blast",23977.68,22117,2884,870,4741,531,74550,11/02/2010,0.0,12/19/2021 10:20:23
154,Faust,Faust,Halloween  Level 3 complete  Level 6 complete  Level 7 complete  Level 9 complete  Level 10 complete  Fast as light  True Ultimate Warrior,23977.21,19023,4222,993,6151,1229,231635,07/17/2004,202861.4,04/13/2021 19:37:56
155,babo wagen,babo wagen,Developer X is pleased  NEEEEEEEEEEEERRRRRRRRD!!!!!!!  Ice Breaker  >BOROS  Ninth Inning  Kunio-Kun  Octoboss  Big Boss,23961.29,18935,1021,626,1338,313,67752,06/01/2015,24708.6,10/22/2021 06:40:18
156,Jamez Gamez,Jamez Gamez,Hacker  Cube  Cliffhanger  Teaser  A Long Way  The Perfect Drop  Face Your Fear  Perfect timing,23931.99,26309,1249,383,1505,1559,904762,03/29/2016,0.0,12/18/2021 20:25:12
157,neillin77777,neillin77777,Endless master  Endless masters  Its all gold now  Endless millionaire  Endless super millionaire  Puzzle master  Puzzle genius  Puzzle marvel,23904.55,21515,8050,797,15205,33,29717,05/16/2015,16452.0,11/04/2021 11:48:45
158,CSX,CSX,Show Me Your Credentials 3  Chaladonian Grandmaster 1  Brand New Wings 2  Vigilance  Lying Low  Undying  Flame Out  Suckerpunch,23879.88,23212,4061,210,5626,358,55512,09/12/2003,26442.7,04/17/2022 14:52:23
159,BillGreen,BillGreen,Silky Mitts  Master Tactician  Ready for the Show  Superstitious  It's Getting Crowded in Here  Hot Potato  Bell Ringer  Pinball Wizard,23801.06,19929,1251,748,1571,317,124958,07/04/2017,18255.6,01/03/2022 12:40:51
160,Valtherina,Valtherina,Dr. Salk  Gasso Fanatic  Master of Hunt  Grand Theft Auto  Delivery Boy  TATSRAVE  Unique Fort Complete!  Unique Da Vinci Complete!,23767.52,25415,3214,1008,4081,154,64613,11/06/2014,12208.7,02/23/2022 21:26:48
161,pewP3W | [JK],pewP3W | [JK],Tracked Gold  Sitting Duck Gold  Riding Shotgun Platinum  Transport Hunter Gold  Beyond the Sea  A New Day  Melon Felon  Rockstar!,23664.16,24216,9755,1180,16858,60,24069,12/17/2008,35835.2,03/25/2022 17:25:58
162,Icey,Icey,No Feat Too Great  Where No One Has Gone Before  Not On My Watch  He That Dies Pays All Debts  Barrely Victorious  Self-Destruct Mutton  Redeemer  Kooky Cookies,23552.65,22698,1167,812,896,520,211546,08/14/2019,0.0,01/31/2022 18:13:04
163,THG-303,THG-303,Italo-German Campaign Medal  Rat of Tobruk  Africa Star  Motorbroke  Sunstroke  Queen of the Desert  Infantry Assault Badge  Waltzing Matilda,23546.65,33848,1112,488,1181,44,14173,09/07/2007,48351.4,03/04/2022 05:23:51
164,Lirtis,Lirtis,Blood Anniversary Pt I  Dungeon Of Eyden Complete!  Ancient relics  Whistlers Mother Complete!  Ancient relics  Lords of Darkness!  Shasshhiy'Kaish (Roguelike)  Elektra,23529.73,40849,942,72,944,18,3876,11/14/2010,12058.7,01/11/2022 02:20:47
165,Capndrake,Capndrake,Special Level: Destroyed!  Gotta' go fast!  You're the Boss now!  Are you prepared to die?  Slime-san Master!  Special Level: Crushed!  World 4 Champion!  Slime-san Champion!,23484.5,22753,2132,641,2743,229,79151,12/19/2007,20355.8,03/20/2022 06:53:53
166,Dibbleton,Dibbleton,"Speed Demon  You Should See the Other Guy  Escape THIS!  BurningX  Missiles, Who Needs 'Em?  Sun's out, guns out.  Aquatic Abomination  Mission Impossible",23445.71,22323,1620,223,1863,99,15030,05/11/2010,0.0,03/15/2021 13:23:06
167,BenDeis,BenDeis,There's Always Time  Jack of All Trades  Micro Master  I am Kind of a Big Deal  Love It When a Plan Comes Together  Experience Is Everything  From the Outer Darkness  The Abyss is Hungry,23438.94,25409,1000,872,991,1478,994158,09/10/2017,482295.6,03/07/2021 14:19:29
168,🐼デート ア ライブ🐨,🐼デート ア ライブ🐨,Perfectionist  Young Money Millionaire  Conquistador  Red Faction Guerrilla Re-Mars-tered  Push It To The Limit  Combination Sensation  The Puzzler  Eat More Calamari,23436.91,20250,909,734,848,125,39965,02/02/2019,855.6,01/09/2022 14:27:10
169,adeyke,adeyke,Brutal Mutator  Ghostbusters!  Diplomacy Is Overrated  Erratic Command  I Hate Camping!  Viva La Revolution  Don't Open That Door  Wheel of Misfortune,23415.03,23333,7370,701,10960,393,62632,02/13/2007,159767.8,08/13/2021 12:09:55
170,♍♍♓,♍♍♓,Speed demon  What's wrong with you?  'Tis but a scratch  Russian Engineering  The Last Barman  Praise the lord  MISSION KING  MISSION GOD,23390.08,17019,1799,738,2528,1503,863028,05/27/2013,36190.1,02/23/2021 19:05:43
171,Vance Finiraldi,Vance Finiraldi,"Overruled!  Conqueror  Two Weeks  Funded!  Still ""Alive""  By the Scruff of Their Necks  Foreshadowing and Cymbalism  Survival Serenity",23386.3,25621,1638,882,1685,639,173185,12/20/2011,26800.6,08/06/2021 23:28:35
172,mac420,mac420,Eruption  SPACE WINGMAN  HYPER LIGHT DRIVER  VERSATILE PILOT  RACE-A-THON  Spy Net  Master  No Barrel Unbroken,23202.45,20183,3778,155,5290,7,5242,11/30/2007,8977.3,02/26/2021 21:37:03
173,Matisse,Matisse,Finally  Lord of the Runes  A Friend to All Creatures  0x1337  Bah Ram You!  Industry Standard  1001100110111  Pretty in Pink,23177.52,17957,660,502,671,33,12532,12/01/2013,6124.1,01/15/2022 19:07:00
174,MidasTouch,MidasTouch,"Dungeons closed!  Someone ate too much sugar!  Feeding time!  From rags to riches!  Wow, the white tooth?  It stinks!  Limit break!  Huge power!",23138.27,17147,735,462,955,177,33541,06/01/2013,8802.6,01/15/2022 05:46:00
175,Lavatein,Lavatein,"Spire Battle Mastery  PTT Scorer Pro  The Union  Retro Game Master  Yee-haw!  Pudisnext Mastery  Obsessive Completist  Slow Down, Sonny!",23134.4,24134,3660,505,4391,156,45378,02/28/2008,35942.7,12/16/2021 14:41:53
176,proudlarry,proudlarry,Italo-German Campaign Medal  Rat of Tobruk  Africa Star  Motorbroke  Queen of the Desert  Waltzing Matilda  Tracked Gold  Sitting Duck Gold,23099.72,22559,3830,777,5248,273,68411,12/26/2007,47017.1,11/28/2021 04:58:07
177,LightBulb,LightBulb,Zarak's Revenge  Thoughts on the Menu  I'm Sure I Saw It Move!  Undergeared  The Alien Underdark  Slack-jawed Lorna  The Fairy Rings of Thither  The Dark Heart,23062.78,29198,1073,395,1148,62,30730,11/15/2004,70601.0,04/05/2022 12:09:40
178,Frisky_Katana,Frisky_Katana,"True Ultimate Warrior  5. Boom! Problem Solved  Master Upgrader  HR Director  Adventure Mode completed  Tally Mode completed  4. Well, I Guess That Would Do It  5. I Have A Bad Feeling About This",23036.83,23735,4548,970,6067,168,36398,09/22/2007,16316.1,04/07/2022 14:29:01
179,FunkeymonkeyTTR,FunkeymonkeyTTR,Legend  Ironman  The Rock  Pumping Iron  Kiosk Item Unlocked: Bird  Kiosk Item Unlocked: Horse  Kiosk Item Unlocked: Savanna  Kiosk Item Unlocked: Face,22973.2,23538,11055,1056,19681,6731,1616324,09/12/2015,41877.1,12/26/2021 19:51:49
180,TheBrig,TheBrig,Create a Super Floor Trap...  Saiyan Roach  KILLING SPREE  LIKE LAMBS TO THE SLAUGHTER  Survivor Roach  A LITTLE HACK AND SLASH  THE BIG TEN  SPITFIRE,22860.96,39237,1122,449,1129,134,33144,12/20/2013,13198.7,02/19/2022 21:49:51
181,Parallel Platypus,Parallel Platypus,"Sheeple Apologist  Ooooh, Look At Mr. Responsible Over Here  Mech Connoisseur  It's Me, Austin!  Can't Touch This  Breaking the Ice  It's All in the Mind  Almost there!",22850.73,22157,4425,798,5505,217,30613,01/27/2009,17301.6,05/08/2021 00:34:02
182,Zmiiju,Zmiiju,Legendary MechCommander  Grizzled Vet  MechDominator  Seasoned MechWarrior  Champion of the Arena  Champion in the Making  Getting the Hang of It  Master of Multiwinia,22830.42,23684,1019,646,1011,149,86016,12/16/2012,31622.7,04/28/2021 19:56:21
183,「UPRPRC」優曇華院,「UPRPRC」優曇華院,Legend  Good Soul  Philantropist  Saint  Counterblow  Saboteur  Usual Suspect  Rebellious Student,22755.75,23628,1749,745,2020,189,129836,11/08/2016,8396.9,01/16/2022 08:41:44
184,Chris Fifty-Two,Chris Fifty-Two,Sgt. MacReady  Patron Saint of Res  Trust No-one  Doppelpopolis  It came from...behind  Rifles Only  Super Portal Rush  The Last Straw,22597.2,24123,2716,722,3121,162,27553,10/07/2004,20037.9,11/28/2021 04:57:58
185,PhantonGualteriØ,PhantonGualteriØ,Perfect Path X 30  Perfect Path X 40  Paths Perfected  Frequent Flyer  Thread The Needle  Good Listener  NOAA  Perfect Path X 20,22596.2,17416,921,625,1314,225,58754,12/13/2014,16536.5,01/31/2022 16:51:04
186,Batprince,Batprince,Racing Up  Ain’t Afraid of No Ghost  Eternal Starshine  Diva  You did it!  Crowd Control  Mega Mismanaged  Smashy Smashy,22590.61,29147,18831,1864,32429,878,214302,12/31/2013,39524.2,01/27/2021 21:52:11
187,Jami,Jami,Suited Up  Harbourmaster  Don't Gank Me Bro  Curse Be Gone  Never Gonna Give You Up  Vengeance  Player Killer  Victorious,22586.56,24172,12182,565,18087,556,86664,05/12/2010,13160.4,03/22/2022 02:47:42
188,Kennel,Kennel,Challenge 65 Complete!  Kiosk Item Unlocked: Challenge 65  Challenge 64 Complete!  Kiosk Item Unlocked: Challenge 64  RADicalROACH: Infinity Complete!  Kiosk Item Unlocked: Challenge 63  Challenge 63 Complete!  Christmas 2021 Complete!,22573.69,22613,1519,192,1784,55,10839,10/18/2007,0.0,05/02/2022 12:21:09
189,barondeghost,barondeghost,Guardian  Builder  Helpful  Adored  Finish the Secret Quest!  Finder  Savior  Deadswitch 3 Complete!,22553.5,29158,4534,1531,5000,402,80620,11/14/2011,32780.4,11/01/2021 00:28:22
190,Camper-Hunter,Camper-Hunter,"This used to be a nice neighborhood!  This isn't what I signed up for  Night Duty  Boomstick From Hell  Angry Baby  It wasn't an illness  No Gasmask, No Problem  Knee Deep in the Zed",22531.2,23134,5900,1023,7473,104,36752,05/12/2010,26684.0,03/19/2022 16:47:32
191,AuburnRDM,AuburnRDM,Brown Bomber  Nonstop Rudeness  Ursine God  Absolutely Flowless  Pit Marauder  Artificial Bear  Undercooked  Extreme Ironing,22513.2,21126,5402,812,7911,234,106688,12/30/2010,10551.7,12/20/2021 01:31:47
192,gbm1cho,gbm1cho,"Skulls for the Skull Throne  BSOD  Blood for the Blood God  BSOD  Bragging Rights  Just what do you think you're doing, Dave?  Great!  Skulls for the Skull Throne",22467.74,16303,3765,415,8657,23,10375,02/23/2013,3940.5,01/26/2022 09:20:56
193,RazLog,RazLog,"Badge Rank 10  Badge Rank 9  5. Boom! Problem Solved  All Seasons  Badge Rank 8  4. Well, I Guess That Would Do It  5. I Have A Bad Feeling About This  Badge Rank 7",22374.31,20415,988,692,858,35,32611,06/17/2015,10583.7,04/09/2022 05:12:05
194,Breakfast,Breakfast,Order of the Garter  Victoria Cross  Sgt. MacReady  Patron Saint of Res  Trust No-one  You are Tiny.  Radars Won The Battle  The Lone Wolf,22215.29,18411,672,475,767,38,22823,09/20/2012,4644.1,11/14/2021 23:57:18
