Rank,Player,Player.1,Best achievements,Points,#,Games,100%,All,Badges,XP,Member since,Hours,Last update
22,Crossbourne,Crossbourne,Explore the World - Infiltration 4  Chaladonian Grandmaster 5  Chaladonian Grandmaster 6  World At War 1  Chaladonian Grandmaster 4  World Fights Back - Blockade 1  World Fights Back - Assault 2  Explore the World - Blockade 1,40231.2,40994,12459,1232,18799,4453,2217458,07/04/2005,0.0,03/12/2022 14:33:06
23,FanSH,FanSH,Arashi Grandmaster 9  Arashi Grandmaster 8  Arashi Grandmaster 7  Arashi Grandmaster 6  Arashi Grandmaster 5  Arashi Grandmaster 9  Arashi Grandmaster 8  Knowledge is Power 1,40102.55,43078,8666,660,15103,986,263664,05/15/2012,7979.4,03/01/2022 20:27:57
24,csalokkk,csalokkk,Sentry  Fighter  Specialist  Expert  Chronicler  Explorer  Guardian  Matrices,39312.73,26556,1833,1030,2563,242,120783,09/14/2003,22859.6,12/09/2021 10:45:50
25,M,M,Future Generations  Proving Grounds  Mice  War All of the Time 4  Mirror Image Teaching  Underdog Win 4  Class Act  Battle Tested,39089.59,35338,5422,824,6682,446,75209,05/25/2010,19960.4,03/01/2022 20:23:26
26,KLSH21,KLSH21,Heroes Undaunted  Villains Thwarted  Endless master  Endless masters  Challenge Completed  Classic Champion  Challenge Outmatched  Team-ups Terminated,38861.45,34368,3171,1117,3627,1116,254374,12/29/2006,62188.8,01/16/2022 10:11:13
27,Sellyme,Sellyme,"1,000,000 Slot Spins  Undead Army Upkeep  Daily quests  Steal The Sun  Sweet Socket  Play 100,000 Video Poker Hands  Lycanthrope army  GREAT TOURNAMENT!",38320.68,54667,12109,1133,19151,527,257126,07/24/2010,86560.9,03/01/2022 20:31:22
28,Cos,Cos,Space Hero  FuturLab Certified  Super Sniper  Holy Moly!  No Time to Zork Around  Malcolm at the Front  Dr. Salk  Gasso Fanatic,37677.64,31085,4493,963,8377,172,39675,10/10/2005,39047.7,03/01/2022 20:23:06
29,Lupino,Lupino,Pilgrimage  Personality Disorder  It Requires Finesse  Runic Enthusiasm  Botanist  Survival of the Fittest  Pacifist  Black Friday,37385.74,32479,1144,1042,952,156,53709,04/30/2013,0.0,02/10/2022 00:51:15
30,ChrisEST,ChrisEST,Dragon Dawn Defeated++  Completionist  Unrestricted  Stellar!  Whip It Good  Fantastic Frog Friend  Dragon Dawn Defeated+  Dragon Dawn Defeated,37055.4,25726,1440,864,1730,85,23227,02/23/2013,14484.3,03/28/2022 12:21:49
31,̷S̷a̷n̷t̷a̷_̷K̷o̷t̷9̷r̷a̷,̷S̷a̷n̷t̷a̷_̷K̷o̷t̷9̷r̷a̷,Dragon's Call  Phoenix Fire  Fallow Deer  Challenge 64 Complete!  Kiosk Item Unlocked: Challenge 64  Spring Chick Complete!  ChaCho Complete!  RADicalROACH: Infinity Complete!,36989.09,33501,2409,1396,4579,294,55029,11/17/2018,48368.1,05/04/2022 14:13:24
